Venue:,Capacity:,Timestamp:
MyFitness Tartu Kesklinn,61%,2021-03-04 07:05:56.008399
MyFitness Tartu Lõunakeskus,27%,2021-03-04 07:05:56.008400
MyFitness Viimsi,26%,2021-03-04 07:05:56.008401
MyFitness Viljandi,27%,2021-03-04 07:05:56.008402
MyFitness Viru,25%,2021-03-04 07:05:56.008403
MyFitness Ülemiste City,30%,2021-03-04 07:05:56.008404
MyFitness Balti Jaama Turg,37%,2021-03-04 08:06:05.247514
MyFitness Järve,27%,2021-03-04 08:06:05.247518
MyFitness Kristiine,14%,2021-03-04 08:06:05.247519
MyFitness Lasnamäe Kärberi,15%,2021-03-04 08:06:05.247520
MyFitness Lasnamäe Linnamäe,19%,2021-03-04 08:06:05.247521
MyFitness Lasnamäe Virbi,19%,2021-03-04 08:06:05.247523
MyFitness Mustamäe,32%,2021-03-04 08:06:05.247524
MyFitness Narva,43%,2021-03-04 08:06:05.247525
MyFitness Pirita,30%,2021-03-04 08:06:05.247526
MyFitness Postimaja,20%,2021-03-04 08:06:05.247527
MyFitness Rocca al Mare,53%,2021-03-04 08:06:05.247528
MyFitness Rävala,55%,2021-03-04 08:06:05.247529
MyFitness Solaris,14%,2021-03-04 08:06:05.247531
MyFitness Tartu Annelinn,40%,2021-03-04 08:06:05.247531
MyFitness Tartu Kesklinn,45%,2021-03-04 08:06:05.247532
MyFitness Tartu Lõunakeskus,27%,2021-03-04 08:06:05.247533
MyFitness Viimsi,25%,2021-03-04 08:06:05.247534
MyFitness Viljandi,32%,2021-03-04 08:06:05.247535
MyFitness Viru,32%,2021-03-04 08:06:05.247536
MyFitness Ülemiste City,26%,2021-03-04 08:06:05.247537
MyFitness Balti Jaama Turg,39%,2021-03-04 09:05:45.484404
MyFitness Järve,29%,2021-03-04 09:05:45.484408
MyFitness Kristiine,20%,2021-03-04 09:05:45.484410
MyFitness Lasnamäe Kärberi,21%,2021-03-04 09:05:45.484411
MyFitness Lasnamäe Linnamäe,24%,2021-03-04 09:05:45.484412
MyFitness Lasnamäe Virbi,7%,2021-03-04 09:05:45.484413
MyFitness Mustamäe,38%,2021-03-04 09:05:45.484414
MyFitness Narva,43%,2021-03-04 09:05:45.484415
MyFitness Pirita,40%,2021-03-04 09:05:45.484417
MyFitness Postimaja,26%,2021-03-04 09:05:45.484418
MyFitness Rocca al Mare,60%,2021-03-04 09:05:45.484419
MyFitness Rävala,48%,2021-03-04 09:05:45.484420
MyFitness Solaris,19%,2021-03-04 09:05:45.484421
MyFitness Tartu Annelinn,46%,2021-03-04 09:05:45.484422
MyFitness Tartu Kesklinn,29%,2021-03-04 09:05:45.484423
MyFitness Tartu Lõunakeskus,33%,2021-03-04 09:05:45.484424
MyFitness Viimsi,33%,2021-03-04 09:05:45.484425
MyFitness Viljandi,23%,2021-03-04 09:05:45.484426
MyFitness Viru,40%,2021-03-04 09:05:45.484427
MyFitness Ülemiste City,30%,2021-03-04 09:05:45.484428
MyFitness Balti Jaama Turg,39%,2021-03-04 10:05:56.202572
MyFitness Järve,46%,2021-03-04 10:05:56.202577
MyFitness Kristiine,24%,2021-03-04 10:05:56.202578
MyFitness Lasnamäe Kärberi,22%,2021-03-04 10:05:56.202579
MyFitness Lasnamäe Linnamäe,37%,2021-03-04 10:05:56.202581
MyFitness Lasnamäe Virbi,13%,2021-03-04 10:05:56.202582
MyFitness Mustamäe,32%,2021-03-04 10:05:56.202583
MyFitness Narva,50%,2021-03-04 10:05:56.202585
MyFitness Pirita,40%,2021-03-04 10:05:56.202586
MyFitness Postimaja,18%,2021-03-04 10:05:56.202588
MyFitness Rocca al Mare,65%,2021-03-04 10:05:56.202589
MyFitness Rävala,44%,2021-03-04 10:05:56.202590
MyFitness Solaris,24%,2021-03-04 10:05:56.202591
MyFitness Tartu Annelinn,44%,2021-03-04 10:05:56.202592
MyFitness Tartu Kesklinn,28%,2021-03-04 10:05:56.202593
MyFitness Tartu Lõunakeskus,42%,2021-03-04 10:05:56.202594
MyFitness Viimsi,24%,2021-03-04 10:05:56.202595
MyFitness Viljandi,32%,2021-03-04 10:05:56.202596
MyFitness Viru,42%,2021-03-04 10:05:56.202598
MyFitness Ülemiste City,33%,2021-03-04 10:05:56.202599
MyFitness Balti Jaama Turg,37%,2021-03-04 11:05:41.750840
MyFitness Järve,39%,2021-03-04 11:05:41.750844
MyFitness Kristiine,29%,2021-03-04 11:05:41.750845
MyFitness Lasnamäe Kärberi,25%,2021-03-04 11:05:41.750846
MyFitness Lasnamäe Linnamäe,33%,2021-03-04 11:05:41.750847
MyFitness Lasnamäe Virbi,19%,2021-03-04 11:05:41.750849
MyFitness Mustamäe,34%,2021-03-04 11:05:41.751508
MyFitness Narva,38%,2021-03-04 11:05:41.751518
MyFitness Pirita,30%,2021-03-04 11:05:41.751519
MyFitness Postimaja,28%,2021-03-04 11:05:41.751521
MyFitness Rocca al Mare,53%,2021-03-04 11:05:41.751522
MyFitness Rävala,44%,2021-03-04 11:05:41.751523
MyFitness Solaris,33%,2021-03-04 11:05:41.751524
MyFitness Tartu Annelinn,33%,2021-03-04 11:05:41.751525
MyFitness Tartu Kesklinn,41%,2021-03-04 11:05:41.751526
MyFitness Tartu Lõunakeskus,31%,2021-03-04 11:05:41.751527
MyFitness Viimsi,18%,2021-03-04 11:05:41.751528
MyFitness Viljandi,27%,2021-03-04 11:05:41.751529
MyFitness Viru,30%,2021-03-04 11:05:41.751530
MyFitness Ülemiste City,31%,2021-03-04 11:05:41.751531
MyFitness Balti Jaama Turg,42%,2021-03-04 12:05:51.752927
MyFitness Järve,27%,2021-03-04 12:05:51.752931
MyFitness Kristiine,32%,2021-03-04 12:05:51.752932
MyFitness Lasnamäe Kärberi,16%,2021-03-04 12:05:51.752933
MyFitness Lasnamäe Linnamäe,27%,2021-03-04 12:05:51.752935
MyFitness Lasnamäe Virbi,10%,2021-03-04 12:05:51.752937
MyFitness Mustamäe,35%,2021-03-04 12:05:51.752938
MyFitness Narva,43%,2021-03-04 12:05:51.752939
MyFitness Pirita,27%,2021-03-04 12:05:51.752940
MyFitness Postimaja,40%,2021-03-04 12:05:51.752941
MyFitness Rocca al Mare,51%,2021-03-04 12:05:51.752942
MyFitness Rävala,45%,2021-03-04 12:05:51.752943
MyFitness Solaris,26%,2021-03-04 12:05:51.752945
MyFitness Tartu Annelinn,53%,2021-03-04 12:05:51.752946
MyFitness Tartu Kesklinn,42%,2021-03-04 12:05:51.752947
MyFitness Tartu Lõunakeskus,38%,2021-03-04 12:05:51.752948
MyFitness Viimsi,23%,2021-03-04 12:05:51.752949
MyFitness Viljandi,39%,2021-03-04 12:05:51.752950
MyFitness Viru,23%,2021-03-04 12:05:51.752951
MyFitness Ülemiste City,42%,2021-03-04 12:05:51.752952
MyFitness Balti Jaama Turg,30%,2021-03-04 13:05:44.092909
MyFitness Järve,53%,2021-03-04 13:05:44.092913
MyFitness Kristiine,43%,2021-03-04 13:05:44.092914
MyFitness Lasnamäe Kärberi,26%,2021-03-04 13:05:44.092916
MyFitness Lasnamäe Linnamäe,35%,2021-03-04 13:05:44.092917
MyFitness Lasnamäe Virbi,22%,2021-03-04 13:05:44.092918
MyFitness Mustamäe,51%,2021-03-04 13:05:44.092919
MyFitness Narva,54%,2021-03-04 13:05:44.092920
MyFitness Pirita,42%,2021-03-04 13:05:44.092921
MyFitness Postimaja,45%,2021-03-04 13:05:44.092922
MyFitness Rocca al Mare,84%,2021-03-04 13:05:44.092923
MyFitness Rävala,75%,2021-03-04 13:05:44.092924
MyFitness Solaris,26%,2021-03-04 13:05:44.092925
MyFitness Tartu Annelinn,67%,2021-03-04 13:05:44.092926
MyFitness Tartu Kesklinn,50%,2021-03-04 13:05:44.092927
MyFitness Tartu Lõunakeskus,44%,2021-03-04 13:05:44.092928
MyFitness Viimsi,23%,2021-03-04 13:05:44.092929
MyFitness Viljandi,61%,2021-03-04 13:05:44.092930
MyFitness Viru,35%,2021-03-04 13:05:44.092931
MyFitness Ülemiste City,45%,2021-03-04 13:05:44.092932
MyFitness Balti Jaama Turg,27%,2021-03-04 14:05:48.103769
MyFitness Järve,55%,2021-03-04 14:05:48.103774
MyFitness Kristiine,46%,2021-03-04 14:05:48.103774
MyFitness Lasnamäe Kärberi,24%,2021-03-04 14:05:48.103775
MyFitness Lasnamäe Linnamäe,23%,2021-03-04 14:05:48.103776
MyFitness Lasnamäe Virbi,21%,2021-03-04 14:05:48.103777
MyFitness Mustamäe,50%,2021-03-04 14:05:48.103778
MyFitness Narva,54%,2021-03-04 14:05:48.103779
MyFitness Pirita,33%,2021-03-04 14:05:48.103780
MyFitness Postimaja,23%,2021-03-04 14:05:48.103781
MyFitness Rocca al Mare,73%,2021-03-04 14:05:48.103782
MyFitness Rävala,67%,2021-03-04 14:05:48.103783
MyFitness Solaris,24%,2021-03-04 14:05:48.103783
MyFitness Tartu Annelinn,43%,2021-03-04 14:05:48.103784
MyFitness Tartu Kesklinn,55%,2021-03-04 14:05:48.103785
MyFitness Tartu Lõunakeskus,38%,2021-03-04 14:05:48.103786
MyFitness Viimsi,21%,2021-03-04 14:05:48.103786
MyFitness Viljandi,41%,2021-03-04 14:05:48.103788
MyFitness Viru,40%,2021-03-04 14:05:48.103788
MyFitness Ülemiste City,42%,2021-03-04 14:05:48.103789
MyFitness Balti Jaama Turg,31%,2021-03-04 15:05:54.270631
MyFitness Järve,47%,2021-03-04 15:05:54.270635
MyFitness Kristiine,45%,2021-03-04 15:05:54.270637
MyFitness Lasnamäe Kärberi,28%,2021-03-04 15:05:54.270638
MyFitness Lasnamäe Linnamäe,29%,2021-03-04 15:05:54.270639
MyFitness Lasnamäe Virbi,28%,2021-03-04 15:05:54.270640
MyFitness Mustamäe,50%,2021-03-04 15:05:54.270641
MyFitness Narva,54%,2021-03-04 15:05:54.270642
MyFitness Pirita,32%,2021-03-04 15:05:54.270643
MyFitness Postimaja,37%,2021-03-04 15:05:54.270645
MyFitness Rocca al Mare,70%,2021-03-04 15:05:54.270677
MyFitness Rävala,53%,2021-03-04 15:05:54.270679
MyFitness Solaris,29%,2021-03-04 15:05:54.270680
MyFitness Tartu Annelinn,50%,2021-03-04 15:05:54.270681
MyFitness Tartu Kesklinn,76%,2021-03-04 15:05:54.270682
MyFitness Tartu Lõunakeskus,50%,2021-03-04 15:05:54.270683
MyFitness Viimsi,32%,2021-03-04 15:05:54.270684
MyFitness Viljandi,32%,2021-03-04 15:05:54.270685
MyFitness Viru,42%,2021-03-04 15:05:54.270686
MyFitness Ülemiste City,42%,2021-03-04 15:05:54.270687
MyFitness Balti Jaama Turg,57%,2021-03-04 16:06:12.990660
MyFitness Järve,63%,2021-03-04 16:06:12.990664
MyFitness Kristiine,61%,2021-03-04 16:06:12.990665
MyFitness Lasnamäe Kärberi,36%,2021-03-04 16:06:12.990666
MyFitness Lasnamäe Linnamäe,53%,2021-03-04 16:06:12.990667
MyFitness Lasnamäe Virbi,27%,2021-03-04 16:06:12.990668
MyFitness Mustamäe,46%,2021-03-04 16:06:12.990669
MyFitness Narva,66%,2021-03-04 16:06:12.990670
MyFitness Pirita,60%,2021-03-04 16:06:12.990671
MyFitness Postimaja,55%,2021-03-04 16:06:12.990691
MyFitness Rocca al Mare,90%,2021-03-04 16:06:12.990692
MyFitness Rävala,83%,2021-03-04 16:06:12.990693
MyFitness Solaris,50%,2021-03-04 16:06:12.990694
MyFitness Tartu Annelinn,83%,2021-03-04 16:06:12.990695
MyFitness Tartu Kesklinn,80%,2021-03-04 16:06:12.990695
MyFitness Tartu Lõunakeskus,33%,2021-03-04 16:06:12.990696
MyFitness Viimsi,39%,2021-03-04 16:06:12.990697
MyFitness Viljandi,61%,2021-03-04 16:06:12.991775
MyFitness Viru,45%,2021-03-04 16:06:12.991780
MyFitness Ülemiste City,56%,2021-03-04 16:06:12.991781
MyFitness Balti Jaama Turg,46%,2021-03-04 17:05:51.783681
MyFitness Järve,83%,2021-03-04 17:05:51.783684
MyFitness Kristiine,63%,2021-03-04 17:05:51.783686
MyFitness Lasnamäe Kärberi,38%,2021-03-04 17:05:51.783687
MyFitness Lasnamäe Linnamäe,49%,2021-03-04 17:05:51.783688
MyFitness Lasnamäe Virbi,39%,2021-03-04 17:05:51.783689
MyFitness Mustamäe,59%,2021-03-04 17:05:51.783690
MyFitness Narva,73%,2021-03-04 17:05:51.783691
MyFitness Pirita,53%,2021-03-04 17:05:51.783692
MyFitness Postimaja,51%,2021-03-04 17:05:51.783693
MyFitness Rocca al Mare,77%,2021-03-04 17:05:51.783694
MyFitness Rävala,91%,2021-03-04 17:05:51.783695
MyFitness Solaris,48%,2021-03-04 17:05:51.783696
MyFitness Tartu Annelinn,69%,2021-03-04 17:05:51.783697
MyFitness Tartu Kesklinn,54%,2021-03-04 17:05:51.783698
MyFitness Tartu Lõunakeskus,52%,2021-03-04 17:05:51.783699
MyFitness Viimsi,46%,2021-03-04 17:05:51.783700
MyFitness Viljandi,75%,2021-03-04 17:05:51.783701
MyFitness Viru,50%,2021-03-04 17:05:51.783702
MyFitness Ülemiste City,67%,2021-03-04 17:05:51.783702
MyFitness Balti Jaama Turg,46%,2021-03-04 18:05:43.558594
MyFitness Järve,53%,2021-03-04 18:05:43.558597
MyFitness Kristiine,33%,2021-03-04 18:05:43.558598
MyFitness Lasnamäe Kärberi,33%,2021-03-04 18:05:43.558599
MyFitness Lasnamäe Linnamäe,29%,2021-03-04 18:05:43.558600
MyFitness Lasnamäe Virbi,34%,2021-03-04 18:05:43.558601
MyFitness Mustamäe,47%,2021-03-04 18:05:43.558602
MyFitness Narva,75%,2021-03-04 18:05:43.558604
MyFitness Pirita,38%,2021-03-04 18:05:43.558605
MyFitness Postimaja,42%,2021-03-04 18:05:43.558606
MyFitness Rocca al Mare,72%,2021-03-04 18:05:43.558606
MyFitness Rävala,52%,2021-03-04 18:05:43.558607
MyFitness Solaris,48%,2021-03-04 18:05:43.558608
MyFitness Tartu Annelinn,56%,2021-03-04 18:05:43.558609
MyFitness Tartu Kesklinn,50%,2021-03-04 18:05:43.558610
MyFitness Tartu Lõunakeskus,58%,2021-03-04 18:05:43.558611
MyFitness Viimsi,43%,2021-03-04 18:05:43.558612
MyFitness Viljandi,68%,2021-03-04 18:05:43.558613
MyFitness Viru,37%,2021-03-04 18:05:43.558614
MyFitness Ülemiste City,61%,2021-03-04 18:05:43.558615
MyFitness Balti Jaama Turg,34%,2021-03-04 19:05:51.119630
MyFitness Järve,44%,2021-03-04 19:05:51.119634
MyFitness Kristiine,20%,2021-03-04 19:05:51.119635
MyFitness Lasnamäe Kärberi,16%,2021-03-04 19:05:51.119636
MyFitness Lasnamäe Linnamäe,14%,2021-03-04 19:05:51.119637
MyFitness Lasnamäe Virbi,13%,2021-03-04 19:05:51.119638
MyFitness Mustamäe,31%,2021-03-04 19:05:51.119639
MyFitness Narva,46%,2021-03-04 19:05:51.119640
MyFitness Pirita,38%,2021-03-04 19:05:51.119641
MyFitness Postimaja,17%,2021-03-04 19:05:51.119642
MyFitness Rocca al Mare,70%,2021-03-04 19:05:51.119643
MyFitness Rävala,36%,2021-03-04 19:05:51.119644
MyFitness Solaris,12%,2021-03-04 19:05:51.119645
MyFitness Tartu Annelinn,50%,2021-03-04 19:05:51.119646
MyFitness Tartu Kesklinn,46%,2021-03-04 19:05:51.119646
MyFitness Tartu Lõunakeskus,44%,2021-03-04 19:05:51.119647
MyFitness Viimsi,31%,2021-03-04 19:05:51.119648
MyFitness Viljandi,43%,2021-03-04 19:05:51.119649
MyFitness Viru,33%,2021-03-04 19:05:51.119650
MyFitness Ülemiste City,36%,2021-03-04 19:05:51.119651
MyFitness Balti Jaama Turg,7%,2021-03-04 21:06:14.097139
MyFitness Järve,0%,2021-03-04 21:06:14.097144
MyFitness Kristiine,1%,2021-03-04 21:06:14.097145
MyFitness Lasnamäe Kärberi,0%,2021-03-04 21:06:14.097146
MyFitness Lasnamäe Linnamäe,5%,2021-03-04 21:06:14.097147
MyFitness Lasnamäe Virbi,0%,2021-03-04 21:06:14.097148
MyFitness Mustamäe,1%,2021-03-04 21:06:14.097149
MyFitness Narva,0%,2021-03-04 21:06:14.097150
MyFitness Pirita,5%,2021-03-04 21:06:14.097152
MyFitness Postimaja,3%,2021-03-04 21:06:14.097153
MyFitness Rocca al Mare,9%,2021-03-04 21:06:14.097154
MyFitness Rävala,5%,2021-03-04 21:06:14.097155
MyFitness Solaris,0%,2021-03-04 21:06:14.097156
MyFitness Tartu Annelinn,1%,2021-03-04 21:06:14.097157
MyFitness Tartu Kesklinn,1%,2021-03-04 21:06:14.097157
MyFitness Tartu Lõunakeskus,0%,2021-03-04 21:06:14.097158
MyFitness Viimsi,0%,2021-03-04 21:06:14.097159
MyFitness Viljandi,14%,2021-03-04 21:06:14.097169
MyFitness Viru,13%,2021-03-04 21:06:14.097169
MyFitness Ülemiste City,1%,2021-03-04 21:06:14.097170
MyFitness Viimsi,0%,2021-03-04 22:05:52.393711
MyFitness Viimsi,0%,2021-03-04 23:05:52.180081
MyFitness Viimsi,0%,2021-03-05 00:06:12.217825
MyFitness Viimsi,0%,2021-03-05 03:05:55.357008
MyFitness Rävala,5%,2021-03-05 04:05:54.335442
MyFitness Viimsi,0%,2021-03-05 04:05:54.335447
MyFitness Balti Jaama Turg,18%,2021-03-05 05:05:57.112433
MyFitness Järve,29%,2021-03-05 05:05:57.112437
MyFitness Kristiine,13%,2021-03-05 05:05:57.112438
MyFitness Lasnamäe Kärberi,5%,2021-03-05 05:05:57.112439
MyFitness Lasnamäe Linnamäe,13%,2021-03-05 05:05:57.112441
MyFitness Lasnamäe Virbi,1%,2021-03-05 05:05:57.112442
MyFitness Mustamäe,22%,2021-03-05 05:05:57.112443
MyFitness Narva,5%,2021-03-05 05:05:57.112444
MyFitness Pirita,2%,2021-03-05 05:05:57.112445
MyFitness Postimaja,14%,2021-03-05 05:05:57.112446
MyFitness Rocca al Mare,47%,2021-03-05 05:05:57.112447
MyFitness Rävala,43%,2021-03-05 05:05:57.112448
MyFitness Solaris,5%,2021-03-05 05:05:57.112449
MyFitness Tartu Annelinn,31%,2021-03-05 05:05:57.112450
MyFitness Tartu Kesklinn,14%,2021-03-05 05:05:57.112451
MyFitness Tartu Lõunakeskus,0%,2021-03-05 05:05:57.112452
MyFitness Viimsi,12%,2021-03-05 05:05:57.112453
MyFitness Viljandi,2%,2021-03-05 05:05:57.112454
MyFitness Viru,8%,2021-03-05 05:05:57.112455
MyFitness Ülemiste City,25%,2021-03-05 05:05:57.112456
MyFitness Balti Jaama Turg,34%,2021-03-05 06:05:46.916652
MyFitness Järve,42%,2021-03-05 06:05:46.916655
MyFitness Kristiine,38%,2021-03-05 06:05:46.916656
MyFitness Lasnamäe Kärberi,22%,2021-03-05 06:05:46.916657
